@relation auto-mpg-CS699

@attribute cylinders {3,4,5,6,7,8}
@attribute displacement numeric
@attribute horsepower numeric
@attribute weight numeric
@attribute acceleration numeric
@attribute year {70,71,72,73,74,75,76,77,78,79,80,81,82}
@attribute origin {1,2,3}
@attribute car_name {'chevrolet chevelle malibu','buick skylark 320','plymouth satellite','amc rebel sst','ford torino','ford galaxie 500','chevrolet impala','plymouth fury iii','pontiac catalina','amc ambassador dpl','citroen ds-21 pallas','chevrolet chevelle concours (sw)','ford torino (sw)','plymouth satellite (sw)','amc rebel sst (sw)','dodge challenger se','plymouth \'cuda 340','ford mustang boss 302','chevrolet monte carlo','buick estate wagon (sw)','toyota corona mark ii','plymouth duster','amc hornet','ford maverick','datsun pl510','volkswagen 1131 deluxe sedan','peugeot 504','audi 100 ls','saab 99e','bmw 2002','amc gremlin','ford f250','chevy c20','dodge d200','hi 1200d','chevrolet vega 2300','toyota corona','ford pinto','volkswagen super beetle 117','plymouth satellite custom','ford torino 500','amc matador','pontiac catalina brougham','dodge monaco (sw)','ford country squire (sw)','pontiac safari (sw)','amc hornet sportabout (sw)','chevrolet vega (sw)','pontiac firebird','ford mustang','mercury capri 2000','opel 1900','peugeot 304','fiat 124b','toyota corolla 1200','datsun 1200','volkswagen model 111','plymouth cricket','toyota corona hardtop','dodge colt hardtop','volkswagen type 3','chevrolet vega','ford pinto runabout','amc ambassador sst','mercury marquis','buick lesabre custom','oldsmobile delta 88 royale','chrysler newport royal','mazda rx2 coupe','amc matador (sw)','ford gran torino (sw)','plymouth satellite custom (sw)','volvo 145e (sw)','volkswagen 411 (sw)','peugeot 504 (sw)','renault 12 (sw)','ford pinto (sw)','datsun 510 (sw)','toyouta corona mark ii (sw)','dodge colt (sw)','toyota corolla 1600 (sw)','buick century 350','chevrolet malibu','ford gran torino','dodge coronet custom','mercury marquis brougham','chevrolet caprice classic','ford ltd','plymouth fury gran sedan','chrysler new yorker brougham','buick electra 225 custom','amc ambassador brougham','plymouth valiant','chevrolet nova custom','volkswagen super beetle','ford country','plymouth custom suburb','oldsmobile vista cruiser','toyota carina','datsun 610','maxda rx3','mercury capri v6','fiat 124 sport coupe','chevrolet monte carlo s','pontiac grand prix','fiat 128','opel manta','audi 100ls','volvo 144ea','dodge dart custom','saab 99le','toyota mark ii','oldsmobile omega','chevrolet nova','datsun b210','chevrolet chevelle malibu classic','plymouth satellite sebring','buick century luxus (sw)','dodge coronet custom (sw)','audi fox','volkswagen dasher','datsun 710','dodge colt','fiat 124 tc','honda civic',subaru,'fiat x1.9','plymouth valiant custom','mercury monarch','chevrolet bel air','plymouth grand fury','buick century','chevroelt chevelle malibu','plymouth fury','buick skyhawk','chevrolet monza 2+2','ford mustang ii','toyota corolla','pontiac astro','volkswagen rabbit','amc pacer','volvo 244dl','honda civic cvcc','fiat 131','capri ii','renault 12tl','dodge coronet brougham','chevrolet chevette','chevrolet woody','vw rabbit','dodge aspen se','ford granada ghia','pontiac ventura sj','amc pacer d/l','datsun b-210','volvo 245','plymouth volare premier v8','mercedes-benz 280s','cadillac seville','chevy c10','ford f108','dodge d100','honda accord cvcc','buick opel isuzu deluxe','renault 5 gtl','plymouth arrow gs','datsun f-10 hatchback','oldsmobile cutlass supreme','dodge monaco brougham','mercury cougar brougham','chevrolet concours','buick skylark','plymouth volare custom','ford granada','pontiac grand prix lj','chevrolet monte carlo landau','chrysler cordoba','ford thunderbird','volkswagen rabbit custom','pontiac sunbird coupe','toyota corolla liftback','ford mustang ii 2+2','dodge colt m/m','subaru dl','datsun 810','bmw 320i','mazda rx-4','volkswagen rabbit custom diesel','ford fiesta','mazda glc deluxe','datsun b210 gx','oldsmobile cutlass salon brougham','dodge diplomat','mercury monarch ghia','pontiac phoenix lj','ford fairmont (auto)','ford fairmont (man)','plymouth volare','amc concord','buick century special','mercury zephyr','dodge aspen','amc concord d/l','buick regal sport coupe (turbo)','ford futura','dodge magnum xe','datsun 510','dodge omni','toyota celica gt liftback','plymouth sapporo','oldsmobile starfire sx','datsun 200-sx','audi 5000','volvo 264gl','saab 99gle','peugeot 604sl','volkswagen scirocco','honda accord lx','pontiac lemans v6','mercury zephyr 6','ford fairmont 4','amc concord dl 6','dodge aspen 6','ford ltd landau','mercury grand marquis','dodge st. regis','chevrolet malibu classic (sw)','chrysler lebaron town @ country (sw)','vw rabbit custom','maxda glc deluxe','dodge colt hatchback custom','amc spirit dl','mercedes benz 300d','cadillac eldorado','plymouth horizon','plymouth horizon tc3','datsun 210','fiat strada custom','buick skylark limited','chevrolet citation','oldsmobile omega brougham','pontiac phoenix','toyota corolla tercel','datsun 310','ford fairmont','audi 4000','toyota corona liftback','mazda 626','datsun 510 hatchback','mazda glc','vw rabbit c (diesel)','vw dasher (diesel)','audi 5000s (diesel)','mercedes-benz 240d','honda civic 1500 gl','renault lecar deluxe','vokswagen rabbit','datsun 280-zx','mazda rx-7 gs','triumph tr7 coupe','ford mustang cobra','honda accord','plymouth reliant','dodge aries wagon (sw)','toyota starlet','plymouth champ','honda civic 1300','datsun 210 mpg','toyota tercel','mazda glc 4','plymouth horizon 4','ford escort 4w','ford escort 2h','volkswagen jetta','renault 18i','honda prelude','datsun 200sx','peugeot 505s turbo diesel','saab 900s','volvo diesel','toyota cressida','datsun 810 maxima','oldsmobile cutlass ls','ford granada gl','chrysler lebaron salon','chevrolet cavalier','chevrolet cavalier wagon','chevrolet cavalier 2-door','pontiac j2000 se hatchback','dodge aries se','ford fairmont futura','amc concord dl','volkswagen rabbit l','mazda glc custom l','mazda glc custom','plymouth horizon miser','mercury lynx l','nissan stanza xe','honda civic (auto)','datsun 310 gx','buick century limited','oldsmobile cutlass ciera (diesel)','chrysler lebaron medallion','ford granada l','toyota celica gt','dodge charger 2.2','chevrolet camaro','ford mustang gl','vw pickup','dodge rampage','ford ranger','chevy s-10'}
@attribute mpg {poor,good,excellent}

@data
8,455,225,4951,11,73,1,'buick electra 225 custom',poor
8,360,175,3821,11,73,1,'amc ambassador brougham',poor
6,225,105,3121,16.5,73,1,'plymouth valiant',poor
6,250,100,3278,18,73,1,'chevrolet nova custom',poor
6,232,100,2945,16,73,1,'amc hornet',poor
6,250,88,3021,16.5,73,1,'ford maverick',poor
6,198,95,2904,16,73,1,'plymouth duster',good
4,97,46,1950,21,73,2,'volkswagen super beetle',good
8,400,150,4997,14,73,1,'chevrolet impala',poor
8,400,167,4906,12.5,73,1,'ford country',poor
8,360,170,4654,13,73,1,'plymouth custom suburb',poor
8,350,180,4499,12.5,73,1,'oldsmobile vista cruiser',poor
6,232,100,2789,15,73,1,'amc gremlin',poor
4,97,88,2279,19,73,3,'toyota carina',poor
4,140,72,2401,19.5,73,1,'chevrolet vega',poor
4,108,94,2379,16.5,73,3,'datsun 610',good
3,70,90,2124,13.5,73,3,'maxda rx3',poor
4,122,85,2310,18.5,73,1,'ford pinto',poor
6,155,107,2472,14,73,1,'mercury capri v6',poor
4,98,90,2265,15.5,73,2,'fiat 124 sport coupe',good
8,350,145,4082,13,73,1,'chevrolet monte carlo s',poor
8,400,230,4278,9.5,73,1,'pontiac grand prix',poor
4,68,49,1867,19.5,73,2,'fiat 128',good
4,116,75,2158,15.5,73,2,'opel manta',good
4,114,91,2582,14,73,2,'audi 100ls',poor
4,121,112,2868,15.5,73,2,'volvo 144ea',poor
8,318,150,3399,11,73,1,'dodge dart custom',poor
4,121,110,2660,14,73,2,'saab 99le',good
6,156,122,2807,13.5,73,3,'toyota mark ii',poor
8,350,180,3664,11,73,1,'oldsmobile omega',poor
6,198,95,3102,16.5,74,1,'plymouth duster',poor
6,200,?,2875,17,74,1,'ford maverick',poor
6,232,100,2901,16,74,1,'amc hornet',poor
6,250,100,3336,17,74,1,'chevrolet nova',poor
4,79,67,1950,19,74,3,'datsun b210',good
4,122,80,2451,16.5,74,1,'ford pinto',good
4,71,65,1836,21,74,3,'toyota corolla 1200',good
4,140,75,2542,17,74,1,'chevrolet vega',good
6,250,100,3781,17,74,1,'chevrolet chevelle malibu classic',poor
6,258,110,3632,18,74,1,'amc matador',poor
6,225,105,3613,16.5,74,1,'plymouth satellite sebring',poor
8,302,140,4141,14,74,1,'ford gran torino',poor
8,350,150,4699,14.5,74,1,'buick century luxus (sw)',poor
8,318,150,4457,13.5,74,1,'dodge coronet custom (sw)',poor
8,302,140,4638,16,74,1,'ford gran torino (sw)',poor
8,304,150,4257,15.5,74,1,'amc matador (sw)',poor
4,98,83,2219,16.5,74,2,'audi fox',good
4,79,67,1963,15.5,74,2,'volkswagen dasher',good
4,97,78,2300,14.5,74,2,'opel manta',good
4,76,52,1649,16.5,74,3,'toyota corona',good
4,83,61,2003,19,74,3,'datsun 710',good
4,90,75,2125,14.5,74,1,'dodge colt',good
4,90,75,2108,15.5,74,2,'fiat 128',good
4,116,75,2246,14,74,2,'fiat 124 tc',good
4,120,97,2489,15,74,3,'honda civic',good
4,108,93,2391,15.5,74,3,subaru,good
4,79,67,2000,16,74,2,'fiat x1.9',good
6,225,95,3264,16,75,1,'plymouth valiant custom',poor
6,250,105,3459,16,75,1,'chevrolet nova',poor
6,250,72,3432,21,75,1,'mercury monarch',poor
6,250,72,3158,19.5,75,1,'ford maverick',poor
8,400,170,4668,11.5,75,1,'pontiac catalina',poor
8,350,145,4440,14,75,1,'chevrolet bel air',poor
8,318,150,4498,14.5,75,1,'plymouth grand fury',poor
8,351,148,4657,13.5,75,1,'ford ltd',poor
6,231,110,3907,21,75,1,'buick century',poor
6,250,105,3897,18.5,75,1,'chevroelt chevelle malibu',poor
6,258,110,3730,19,75,1,'amc matador',poor
6,225,95,3785,19,75,1,'plymouth fury',poor
6,231,110,3039,15,75,1,'buick skyhawk',poor
8,262,110,3221,13.5,75,1,'chevrolet monza 2+2',poor
8,302,129,3169,12,75,1,'ford mustang ii',poor
4,97,75,2171,16,75,3,'toyota corolla',good
4,140,83,2639,17,75,1,'ford pinto',good
6,232,100,2914,16,75,1,'amc gremlin',poor
4,140,78,2592,18.5,75,1,'pontiac astro',good
4,134,96,2702,13.5,75,3,'toyota corona',good
4,90,71,2223,16.5,75,2,'volkswagen dasher',good
4,119,97,2545,17,75,3,'datsun 710',good
6,171,97,2984,14.5,75,1,'ford pinto',poor
4,90,70,1937,14,75,2,'volkswagen rabbit',good
6,232,90,3211,17,75,1,'amc pacer',poor
4,115,95,2694,15,75,2,'audi 100ls',good
4,120,88,2957,17,75,2,'peugeot 504',good
4,121,98,2945,14.5,75,2,'volvo 244dl',good
4,121,115,2671,13.5,75,2,'saab 99le',good
4,91,53,1795,17.5,75,3,'honda civic cvcc',good
4,107,86,2464,15.5,76,2,'fiat 131',good
4,116,81,2220,16.9,76,2,'opel 1900',good
4,140,92,2572,14.9,76,1,'capri ii',good
4,98,79,2255,17.7,76,1,'dodge colt',good
4,101,83,2202,15.3,76,2,'renault 12tl',good
8,305,140,4215,13,76,1,'chevrolet chevelle malibu classic',poor
8,318,150,4190,13,76,1,'dodge coronet brougham',poor
8,304,120,3962,13.9,76,1,'amc matador',poor
8,351,152,4215,12.8,76,1,'ford gran torino',poor
6,225,100,3233,15.4,76,1,'plymouth valiant',good
6,250,105,3353,14.5,76,1,'chevrolet nova',good
6,200,81,3012,17.6,76,1,'ford maverick',good
6,232,90,3085,17.6,76,1,'amc hornet',good
4,85,52,2035,22.2,76,1,'chevrolet chevette',good
4,98,60,2164,22.1,76,1,'chevrolet woody',good
4,90,70,1937,14.2,76,2,'vw rabbit',good
4,91,53,1795,17.4,76,3,'honda civic',good
6,225,100,3651,17.7,76,1,'dodge aspen se',poor
6,250,78,3574,21,76,1,'ford granada ghia',poor
6,250,110,3645,16.2,76,1,'pontiac ventura sj',poor
6,258,95,3193,17.8,76,1,'amc pacer d/l',poor
4,97,71,1825,12.2,76,2,'volkswagen rabbit',good
4,85,70,1990,17,76,3,'datsun b-210',good
4,97,75,2155,16.4,76,3,'toyota corolla',good
4,140,72,2565,13.6,76,1,'ford pinto',good
4,130,102,3150,15.7,76,2,'volvo 245',poor
8,318,150,3940,13.2,76,1,'plymouth volare premier v8',poor
4,120,88,3270,21.9,76,2,'peugeot 504',poor
6,156,108,2930,15.5,76,3,'toyota mark ii',poor
6,168,120,3820,16.7,76,2,'mercedes-benz 280s',poor
8,350,180,4380,12.1,76,1,'cadillac seville',poor
8,350,145,4055,12,76,1,'chevy c10',poor
8,302,130,3870,15,76,1,'ford f108',poor
8,318,150,3755,14,76,1,'dodge d100',poor
4,98,68,2045,18.5,77,3,'honda accord cvcc',good
4,111,80,2155,14.8,77,1,'buick opel isuzu deluxe',good
4,79,58,1825,18.6,77,2,'renault 5 gtl',excellent
4,122,96,2300,15.5,77,1,'plymouth arrow gs',good
4,85,70,1945,16.8,77,3,'datsun f-10 hatchback',good
8,305,145,3880,12.5,77,1,'chevrolet caprice classic',poor
8,260,110,4060,19,77,1,'oldsmobile cutlass supreme',poor
8,318,145,4140,13.7,77,1,'dodge monaco brougham',poor
8,302,130,4295,14.9,77,1,'mercury cougar brougham',poor
6,250,110,3520,16.4,77,1,'chevrolet concours',poor
6,231,105,3425,16.9,77,1,'buick skylark',poor
6,225,100,3630,17.7,77,1,'plymouth volare custom',poor
6,250,98,3525,19,77,1,'ford granada',poor
8,400,180,4220,11.1,77,1,'pontiac grand prix lj',poor
8,350,170,4165,11.4,77,1,'chevrolet monte carlo landau',poor
8,400,190,4325,12.2,77,1,'chrysler cordoba',poor
8,351,149,4335,14.5,77,1,'ford thunderbird',poor
4,97,78,1940,14.5,77,2,'volkswagen rabbit custom',good
4,151,88,2740,16,77,1,'pontiac sunbird coupe',good
4,97,75,2265,18.2,77,3,'toyota corolla liftback',good
4,140,89,2755,15.8,77,1,'ford mustang ii 2+2',good
4,98,63,2051,17,77,1,'chevrolet chevette',good
4,98,83,2075,15.9,77,1,'dodge colt m/m',good
4,97,67,1985,16.4,77,3,'subaru dl',good
4,97,78,2190,14.1,77,2,'volkswagen dasher',good
6,146,97,2815,14.5,77,3,'datsun 810',good
4,121,110,2600,12.8,77,2,'bmw 320i',poor
3,80,110,2720,13.5,77,3,'mazda rx-4',poor
4,90,48,1985,21.5,78,2,'volkswagen rabbit custom diesel',excellent
4,98,66,1800,14.4,78,1,'ford fiesta',excellent
4,78,52,1985,19.4,78,3,'mazda glc deluxe',good
4,85,70,2070,18.6,78,3,'datsun b210 gx',excellent
4,91,60,1800,16.4,78,3,'honda civic cvcc',excellent
8,260,110,3365,15.5,78,1,'oldsmobile cutlass salon brougham',poor
8,318,140,3735,13.2,78,1,'dodge diplomat',poor
8,302,139,3570,12.8,78,1,'mercury monarch ghia',poor
6,231,105,3535,19.2,78,1,'pontiac phoenix lj',poor
6,200,95,3155,18.2,78,1,'chevrolet malibu',poor
6,200,85,2965,15.8,78,1,'ford fairmont (auto)',poor
4,140,88,2720,15.4,78,1,'ford fairmont (man)',good
6,225,100,3430,17.2,78,1,'plymouth volare',poor
6,232,90,3210,17.2,78,1,'amc concord',poor
6,231,105,3380,15.8,78,1,'buick century special',poor
6,200,85,3070,16.7,78,1,'mercury zephyr',poor
6,225,110,3620,18.7,78,1,'dodge aspen',poor
6,258,120,3410,15.1,78,1,'amc concord d/l',poor
8,305,145,3425,13.2,78,1,'chevrolet monte carlo landau',poor
6,231,165,3445,13.4,78,1,'buick regal sport coupe (turbo)',poor
8,302,139,3205,11.2,78,1,'ford futura',poor
8,318,140,4080,13.7,78,1,'dodge magnum xe',poor
4,98,68,2155,16.5,78,1,'chevrolet chevette',good
4,134,95,2560,14.2,78,3,'toyota corona',good
4,119,97,2300,14.7,78,3,'datsun 510',good
4,105,75,2230,14.5,78,1,'dodge omni',good
4,134,95,2515,14.8,78,3,'toyota celica gt liftback',poor
4,156,105,2745,16.7,78,1,'plymouth sapporo',good
4,151,85,2855,17.6,78,1,'oldsmobile starfire sx',good
4,119,97,2405,14.9,78,3,'datsun 200-sx',good
5,131,103,2830,15.9,78,2,'audi 5000',poor
6,163,125,3140,13.6,78,2,'volvo 264gl',poor
